Unnamed: 0,Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Type,Ontology
0,specimenID,"Identifying string linked to a particular sample or specimen, provide by the data contributor",,,,True,dataProperty,,Sage Bionetworks,matchAtLeastOne Biospecimenhuman.specimenID value,Metadata,,
1,sampleType,The type of sample collected,"Amniotic Fluid,Appendix,B cell,Basophils,Bone,Bone Marrow,Brachial lymph node,brain,Breast Milk,Bronchoalveolar Lavage Fluid,Carbohydrate,Cell culture supernatant,cell line,Cerebrospinal Fluid,Cervical lymph nodes,Colon,Colonic Lamina Propria,Convalescent Plasma,Cord blood,Dendritic cell,Dermis,DNA,Dried Blood Spot,Endotracheal aspirate,Epithelium,Feces,Fibroblast,Gastric lamina propria,Ileum,Inguinal lymph node,Jejunum,Kidney,Leukocytes,Lipid,Liver,Lung,Lung lymph node,Lymph node,Lymphocyte,Macrophage,Mesenteric lymph node,Monocyte,Mouse Ear,Nasal lavage fluid,Nasal Swab,Nasal Swab or Nose Specimen,Nasopharyngeal Swab Specimen,Negative Control,Neutrophil,NK cell,Not Specified,Optic Nerve,Organoids,Oropharyngeal Swab Specimen,Osteoblasts,OtherSampleType,Pancreas,Pancreatic Stellate Cells,PBL,PBMC,Placenta,Plasma,Pooled Sample,Popliteal lymph node,Positive Control,Protein,Rectal Swab Specimen,Red Blood Cell,Saliva,Salivary Glands,Serum,Skin of body,Small intestine,Spleen,Sputum,Stomach,Synovial fluid,Synovial tissue,T cell,Thymus,Tonsil,Trachea,Tumor Tissue,Umbilical cord blood,Urinary bladder,Urine,Vagina,Whole blood",,,True,dataProperty,,"Sage Bionetworks,ImmPort",,,,
2,specifySampleType,Value is determined by the data contributor,,,,False,Other,,Sage Bionetworks,,Other,String,
3,specifyMeasurementTechnique,Value is determined by the data contributor,,,,False,Other,,Sage Bionetworks,,Other,String,
4,technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.","10x Visium Spatial Gene Expression,Affymetrix Genome-Wide Human SNP 5.0 Array,Affymetrix Genome-Wide Human SNP 6.0 Array,Affymetrix Human Gene 1.0 ST Array,Affymetrix Human Genome U133 Plus 2.0 Array,Affymetrix U133AB,Agilent 44Karray,BGISEQ-500,Bionano Irys,Cherry Imaging FACE Platform,Cherry Imaging TRACE Platform,Chromium X,EnVision 2103 Multiplate Reader,Illumina 1M,Illumina Genome Analyzer IIx,Illumina h650,Illumina HiSeq 2000,Illumina HiSeq 2500,Illumina HiSeq 3000,Illumina HiSeq 4000,Illumina HiSeq X,Illumina Human660W-Quad v1.0 BeadChip,Illumina HumanHap300,Illumina HumanMethylation450,Illumina HumanOmni1-Quadv1.0,Illumina HumanOmniExpress-24 v1.0 BeadChip,Illumina HumanOmniExpress-24 v1.2 BeadChip,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),Illumina Infinium MethylationEPIC BeadChip v2.0 (935k)Illumina MiSeq,Illumina MouseWG-6 v2.0 expression BeadChip,Illumina NextSeq 1000,Illumina NextSeq 2000,Illumina NextSeq 500,Illumina NextSeq 550,Illumina NovaSeq 6000,Illumina Omni2pt5M,Illumina Omni5M,Illumina WholeGenome DASL,Infinium HumanOmniExpressExome,LI-COR Odyssey CLx,LifeViz Infinity System,LifeViz Micro System,LTQ Orbitrap XL,Nanostring Counter,Nanostring GeoMx,Olympus DP80,Orbitrap Fusion Lumos Tribrid,PacBio RS II,PacBio Sequel II System,PacBio Sequel IIe System,Perlegen 300Karray,Promega GloMax Discover,Q Exative HF,scale,Spectramax M Series,Vectra H1 3D Imaging System,Vevo 3100 Imaging System,Zeiss LSM 980,OtherTechnologyPlatformVersion,Unknown,Not collected,Not applicable,Not Specified",,,True,dataProperty,,Sage Bionetworks,,Omics,,
5,specifyPlatformVersion,Value is determined by the data contributor,,,,False,Other,,Sage Bionetworks,,Other,String,
6,platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor","OtherPlatformLocation,Unknown,Not collected,Not applicable,Not Specified",,,True,dataProperty,,Sage Bionetworks,,Omics,,
7,specifyPlatformLocation,Value is determined by the data contributor,,,,False,Other,,Sage Bionetworks,,Other,String,
8,referenceTranscriptID,The ID for the transcript/gene. Either the NCBI ID or the Ensembl ID must be provided,"Unknown,Not collected,Not applicable,Not Specified",,,True,dataProperty,,Sage Bionetworks,,Omics,,
9,dnaBatchID,DNA isolation batch,"Other,Unknown,Not collected,Not applicable",,,True,dataProperty,,Sage Bionetworks,,Omics,,
10,dnaBatchSize,The number of samples,,,,True,dataProperty,,Sage Bionetworks,regex search ([0-9]+\.[0-9]*.)|([0-9]+),Omics,,
11,dnaBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherDnaBatchSizeUnit",,,True,dataProperty,,Sage Bionetworks,,Omics,,
12,specifyDNABatchSizeUnit,Value is determined by the data contributor,,,,False,Other,,Sage Bionetworks,,Other,String,
13,libraryBatchID,"Library batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,,True,dataProperty,,Sage Bionetworks,,Omics,,
14,libraryPrep,The general strategy by which the library was prepared,"amplicon,cellHashing,Chromium Single Cell 3',DNALibraryConstruction,EndItDNAEndRepairKit,KapaHyperPrep,lncRNAenrichment,methylSeq,miRNAenrichment,multiome,MULTIseq,PCRfree,polyAselection,proximity ligation,rRNAdepletion,SPLITseq,STARRSeq,SureCell,totalRNA,OtherLibraryPrep,Unknown,Not collected,Not applicable,Not Specified",,,True,dataProperty,,Sage Bionetworks,,Omics,,
15,specifyLibraryPrep,Value is determined by the data contributor,,,,False,Other,,Sage Bionetworks,,Other,String,
16,libraryPreparationMethod,Method by which library was prepared,"10x,Accel-NGS 2S Plus,Accel-NGS Methyl-Seq,CEL-seq,Drop-Seq,NEBNext,NexteraXT,Omni-ATAC,sac-seq,Smart-seq1,Smart-seq2,Smart-seq4,SMRTbell,TruSeq,Ultralow Methyl-Seq,OtherLibraryPreparationMethod,Unknown,Not collected,Not applicable,Not Specified",,,True,dataProperty,,Sage Bionetworks,,Omics,,
17,specifyLibraryPreparationMethod,Value is determined by the data contributor,,,,False,Other,,Sage Bionetworks,,Other,String,
18,libraryVersion,"Library Version: for example, rnaSeq 10x library version","OtherLibraryVersion,Unknown,Not collected,Not applicable,Not Specified",,,True,dataProperty,,Sage Bionetworks,,Omics,,
19,specifyLibraryVersion,Value is determined by the data contributor,,,,False,Other,,Sage Bionetworks,,Other,String,
20,sequencingBatchID,"Sequencing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse","Unknown,Not collected,Not applicable,Not Specified",,,True,dataProperty,,Sage Bionetworks,,Omics,,
21,sequencingBatchSize,The number of samples,,,,True,dataProperty,,Sage Bionetworks,regex search ([0-9]+\.[0-9]*.)|([0-9]+),Omics,,
22,sequencingBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherSequencingBatchSizeUnit",,,True,dataProperty,,Sage Bionetworks,,Omics,,
23,specifySequencingBatchSizeUnit,Value is determined by the data contributor,,,,False,Other,,Sage Bionetworks,,Other,String,
24,isStranded,Whether or not the library is stranded.,"TRUE,FALSE",,,True,dataProperty,,Sage Bionetworks,,Omics,str,
25,readStrandOrigin,The strand from which the read originates in a strand-specific protocol,"forward,reverse",,,True,dataProperty,,Sage Bionetworks,,Omics,,
26,readLength,The length of the read,,,,True,dataProperty,,Sage Bionetworks,regex search ([0-9]+\.[0-9]*.)|([0-9]+),Omics,,
27,readLengthUnits,The units of measurement.,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherReadLengthUnits",,,True,dataProperty,,Sage Bionetworks,,Omics,,
28,specifyReadLengthUnits,Value is determined by the data contributor,,,,False,Other,,Sage Bionetworks,,Other,String,
29,runType,The type of run,"singleEnd,pairedEnd",,,True,dataProperty,,Sage Bionetworks,,Omics,,
30,totalReads,Total number of sequencing reads from a library.,,,,True,dataProperty,,Sage Bionetworks,regex search ([0-9]+\.[0-9]*.)|([0-9]+),Omics,,
31,directionalBSseqLibrary,Indicates whether or not the bisulfiteSeq library is directional,"TRUE,FALSE,Unknown,Not collected,Not applicable",,,True,dataProperty,,Sage Bionetworks,,Omics,,
32,gDNAconc,gDNA Concentration in ng,,,,True,dataProperty,,Sage Bionetworks,regex search ([0-9]+\.[0-9]*.)|([0-9]+),,,
33,lambdaDNAconc,Lambda DNA spike-in concentration in ng,,,,True,dataProperty,,Sage Bionetworks,regex search ([0-9]+\.[0-9]*.)|([0-9]+),,,
34,pcrCycles,Number of PCR cycles to amplify transposased DNA fragments,,,,True,dataProperty,,Sage Bionetworks,regex search ([0-9]+\.[0-9]*.)|([0-9]+),,,
35,meanCoverage,Total number of bases covered by ATAC-seq reads/size of genome,,,,True,dataProperty,,Sage Bionetworks,regex search ([0-9]+\.[0-9]*.)|([0-9]+),,,
36,conversionRatio,The ratio or % detailing how well the bisulfite conversion worked,,,,True,dataProperty,,Sage Bionetworks,,,,
